train_loss,train_acc,val_loss,val_acc,lr
0.47305394952394525,83.064,0.6262459516525268,79.03,0.00034823070750601075
0.46855150376047405,83.356,0.6266661509871483,79.1,0.0003157307865321915
0.4689263284814601,83.29,0.6265475034713746,79.23,0.00028491277351315025
0.46411503760182127,83.432,0.6291178107261658,78.96,0.00025580708210703193
0.4676690834517382,83.39,0.6275649249553681,79.07,0.0002284424361172818
0.46397615634665196,83.284,0.6301873862743378,79.0,0.0002028458411457179
0.4637037889689815,83.456,0.6279967218637467,79.07,0.00017904255794126244
0.46735142566719834,83.338,0.6276956111192703,79.11,0.0001570560774706337
0.46099826024503127,83.466,0.6260596662759781,79.08,0.0001369080977355961
0.45947111261134244,83.428,0.625432887673378,79.17,0.00011861850235965303
0.4634329822598671,83.526,0.6246847063302994,79.07,0.00010220534096531077
0.4623387373831807,83.336,0.6253285616636276,78.96,8.768481136128036e-05
0.461699157649157,83.63,0.6245119363069535,78.97,7.507124355719638e-05
0.4575436890733485,83.57,0.626661092042923,78.96,6.437708562162747e-05
0.4616988395549813,83.574,0.6289810806512832,79.02,5.5612891397334055e-05
0.4599244512465535,83.566,0.626757550239563,79.02,4.878731008590162e-05
0.46143174870890014,83.592,0.6270257562398911,79.02,4.390707771202232e-05
0.45842908626916457,83.638,0.6279197633266449,79.05,4.097701047585144e-05
